Title,Date
"Oppenheimer","2/8/26"
"Los ilusionistas 2","12/1/25"
"Torching 2024: A Roast of the Year","11/30/25"
"Tren bala","9/7/25"
"Knives Out: Entre navajas y secretos","9/7/25"
"Glass Onion: Un misterio de Knives Out","3/15/25"
"After Life: Más allá de mi mujer: Temporada 1: Episodio 3","2/17/25"
"Ricky Gervais: SuperNature","2/17/25"
"Ricky Gervais: Armageddon","2/17/25"
"Ricky Gervais: Humanity","2/17/25"
"Better Call Saul: Temporada 4: Piñata","2/16/25"
"Better Call Saul: Temporada 4: Algo estúpido","2/16/25"
"Better Call Saul: Temporada 6: Plan y ejecución","2/16/25"
"Better Call Saul: Temporada 6: Intereses personales","2/16/25"
"Better Call Saul: Temporada 6: Amoratado","2/15/25"
"Better Call Saul: Temporada 6: A la fuga","2/15/25"
"Better Call Saul: Temporada 1: Pimiento","2/15/25"
"Better Call Saul: Temporada 1: Rico","2/9/25"
"Better Call Saul: Temporada 2: Inflable","2/9/25"
"Better Call Saul: Temporada 2: Esa famosa canción","2/8/25"
"Better Call Saul: Temporada 2: Rebecca","2/8/25"
"Better Call Saul: Temporada 2: Guantes fuera","2/8/25"
"Better Call Saul: Temporada 2: Amarillo","2/5/25"
"En la mente de un gato","2/5/25"
"Better Call Saul: Temporada 3: Artimaña","1/30/25"
"La ley de los audaces: Temporada 1: Crisis de identidad","1/30/25"
"La ley de los audaces: Temporada 2: Guerra","1/5/25"
"La ley de los audaces: Temporada 2: Normandía","1/5/25"
"La ley de los audaces: Temporada 2: Ha vuelto","1/5/25"
"La ley de los audaces: Temporada 2: Zane contra Zane","1/5/25"
"La ley de los audaces: Temporada 2: Sangre en el agua","1/4/25"
"La ley de los audaces: Temporada 2: Punto ciego","1/4/25"
"La ley de los audaces: Temporada 2: Punto crítico","1/4/25"
"La ley de los audaces: Temporada 2: Asterisco","1/4/25"
"La ley de los audaces: Temporada 2: Rebobinar","1/2/25"
"La ley de los audaces: Temporada 2: Ataque sorpresa","1/2/25"
"La ley de los audaces: Temporada 2: Deudas de juego","1/2/25"
"La ley de los audaces: Temporada 2: Punto de quiebra","1/1/25"
"La ley de los audaces: Temporada 2: El descubrimiento","1/1/25"
"La ley de los audaces: Temporada 2: Conoce al jefe nuevo","1/1/25"
"La ley de los audaces: Temporada 2: La decisión","1/1/25"
"La ley de los audaces: Temporada 2: Ella lo sabe","1/1/25"
"La ley de los audaces: Temporada 1: Pelea de perros","1/1/25"
"La ley de los audaces: Temporada 1: Las reglas del juego","12/31/24"
"La ley de los audaces: Temporada 1: Fraudes corporativos","12/31/24"
"La ley de los audaces: Temporada 1: Invicto","12/31/24"
"La ley de los audaces: Temporada 1: Juicio falso","12/31/24"
"La ley de los audaces: Temporada 1: Transacciones ilícitas","12/30/24"
"La ley de los audaces: Temporada 1: Fianza","12/30/24"
"La ley de los audaces: Temporada 1: Secretos sucios","12/30/24"
"La ley de los audaces: Temporada 1: Vía rápida","12/30/24"
"La ley de los audaces: Temporada 1: Errores y omisiones","12/30/24"
"La ley de los audaces: Temporada 1: Piloto (Partes 1 y 2)","12/30/24"
"David Brent: Vida en la carretera","11/4/24"
"Dr. House: Temporada 3: Human Error","10/12/24"
"Dr. House: Temporada 3: Act Your Age","10/12/24"
"Dr. House: Temporada 3: Airborne","10/12/24"
"Dr. House: Temporada 1: House - Pilot","10/12/24"
"Dr. House: Temporada 4: The Right Stuff","10/12/24"
"iCarly: Temporada 2: Afecté la votación","10/11/24"
"iCarly: Temporada 2: Nos hacemos nucleares","10/11/24"
"iCarly: Temporada 2: Yo lo vi primero","10/11/24"
"Breaking Bad: Temporada 3: Atardecer","1/6/24"
"The Office (EE. UU.): Temporada 5: Moroccan Christmas","1/6/24"
"Breaking Bad: Temporada 1: Materia gris","12/30/23"
"Breaking Bad: Temporada 5: Planeando sobre todos","12/30/23"
"Better Call Saul: Temporada 3: Segunda marca","12/24/23"
"Better Call Saul: Temporada 3: Sabrosito","12/24/23"
"Better Call Saul: Temporada 3: Costo irrecuperable","12/24/23"
"Better Call Saul: Temporada 1: Mijo","12/24/23"
"Better Call Saul: Temporada 4: Humo","12/23/23"
"Better Call Saul: Temporada 1: Uno","12/10/23"
"Pablo Escobar, el patrón del mal: Episode 49","5/23/23"
"Pablo Escobar, el patrón del mal: Episode 50","5/23/23"
"Pablo Escobar, el patrón del mal: Episode 55","5/23/23"
"After Life: Más allá de mi mujer: Temporada 2: Episodio 3","2/6/23"
"After Life: Más allá de mi mujer: Temporada 2: Episodio 4","2/6/23"
"After Life: Más allá de mi mujer: Temporada 2: Episodio 2","1/30/23"
"After Life: Más allá de mi mujer: Temporada 2: Episodio 1","1/30/23"
"After Life: Más allá de mi mujer: Temporada 1: Episodio 6","1/30/23"
"After Life: Más allá de mi mujer: Temporada 1: Episodio 5","1/29/23"
"After Life: Más allá de mi mujer: Temporada 1: Episodio 4","1/29/23"
"After Life: Más allá de mi mujer: Temporada 1: Episodio 2","1/29/23"
"After Life: Más allá de mi mujer: Temporada 1: Episodio 1","1/29/23"
"Better Call Saul: Temporada 6: Saul se fue","8/16/22"
"Better Call Saul: Temporada 6: Sistema de riego","8/10/22"
"Better Call Saul: Temporada 6: Breaking Bad","8/2/22"
"Better Call Saul: Temporada 6: Nippy","7/27/22"
"Better Call Saul: Temporada 6: Diversión y juegos","7/19/22"
"Better Call Saul: Temporada 6: Apunta y dispara","7/13/22"
"Breaking Bad: Temporada 5: Ozymandias","5/22/22"
"Better Call Saul: Temporada 6: Entre la espada y la pared","5/2/22"
"Better Call Saul: Temporada 6: Recompensa y castigo","5/2/22"
"Better Call Saul: Temporada 6: Vino y rosas","5/2/22"
"Better Call Saul: Temporada 5: Algo imperdonable","5/2/22"
"Better Call Saul: Temporada 5: El camino de las malas elecciones","5/2/22"
"Better Call Saul: Temporada 5: Cobrador","5/2/22"
"Better Call Saul: Temporada 5: JMM","5/2/22"
"Better Call Saul: Temporada 5: Wexler vs. Goodman","5/1/22"
"Better Call Saul: Temporada 5: Dedicado a Max","5/1/22"
"Better Call Saul: Temporada 5: Namasté","5/1/22"
"Better Call Saul: Temporada 5: El indicado","5/1/22"
"Better Call Saul: Temporada 5: 50 % de descuento","5/1/22"
"Better Call Saul: Temporada 5: Hombre Mágico","4/29/22"
"Better Call Saul: Temporada 4: Ganador","4/29/22"
"Better Call Saul: Temporada 4: Hasta la vista","4/29/22"
"Better Call Saul: Temporada 4: Coushatta","4/29/22"
"Better Call Saul: Temporada 4: Qué locura, ¿no?","4/28/22"
"Better Call Saul: Temporada 4: Habla","4/28/22"
"Better Call Saul: Temporada 4: Algo hermoso","4/27/22"
"Better Call Saul: Temporada 4: Respira","4/27/22"
"Better Call Saul: Temporada 3: Farol","4/26/22"
"Better Call Saul: Temporada 3: Caída","4/24/22"
"Better Call Saul: Temporada 3: Resbalón","4/23/22"
"Better Call Saul: Temporada 3: Gastos","4/23/22"
"Better Call Saul: Temporada 3: Testigo","4/21/22"
"Better Call Saul: Temporada 3: Mabel","4/21/22"
"Better Call Saul: Temporada 2: Larga distancia","4/20/22"
"Better Call Saul: Temporada 2: No hay tiempo","4/20/22"
"Better Call Saul: Temporada 2: Fifi","4/20/22"
"Better Call Saul: Temporada 2: La tarta de luna llena","4/18/22"
"Better Call Saul: Temporada 2: Gran cambio","4/18/22"
"Better Call Saul: Temporada 1: Marco","4/18/22"
"Better Call Saul: Temporada 1: Bingo","4/17/22"
"Troya","3/3/22"
"Non-Stop: Sin escalas","3/3/22"
"El precio del mañana","2/20/22"
"Los ilusionistas: Nada es lo que parece","2/14/22"
"El juego del calamar: Temporada 1: Un día de suerte","2/6/22"
"El juego del calamar: Temporada 1: El líder","2/6/22"
"El juego del calamar: Temporada 1: Los VIP","2/6/22"
"El juego del calamar: Temporada 1: Gganbu","2/6/22"
"El juego del calamar: Temporada 1: Un mundo justo","2/6/22"
"El juego del calamar: Temporada 1: No abandones el equipo","2/6/22"
"El juego del calamar: Temporada 1: El hombre del paraguas","2/6/22"
"Sueños de fuga","2/6/22"
"Mi mejor amiga, Ana Frank","2/5/22"
"El juego del calamar: Temporada 1: Infierno","2/5/22"
"El juego del calamar: Temporada 1: Luz roja, luz verde","2/5/22"
"Spider-Man: De regreso a casa","12/16/21"
